source,participant-id,timestamp,sedentary-minutes,lightly-active-minutes,fairly-active-minutes,very-active-minutes,sedentary-active-distance,light-active-distance,moderately-active-distance,very-active-distance
fitbit,6290855005,1461715200.0,1153,287,0,0,0.0299999993294477,4.17999982833862,0,0
fitbit,6290855005,1461801600.0,1185,255,0,0,0,4.32999992370605,0,0
fitbit,6290855005,1461888000.0,1440,0,0,0,0,0,0,0
fitbit,6290855005,1461974400.0,1116,324,0,0,0.00999999977648258,5.09000015258789,0,0
fitbit,6290855005,1462060800.0,1055,282,95,8,0.0199999995529652,4,2.75,0.660000026226044
fitbit,6290855005,1462147200.0,1172,268,0,0,0.0199999995529652,5.1100001335144,0,0
fitbit,6290855005,1462233600.0,1200,240,0,0,0,4.57000017166138,0,0
fitbit,6290855005,1462320000.0,1168,272,0,0,0.00999999977648258,4.40000009536743,0,0
fitbit,6290855005,1462406400.0,1201,239,0,0,0,4.78999996185303,0,0
fitbit,6290855005,1462492800.0,1135,305,0,0,0.0299999993294477,4.59000015258789,0,0
fitbit,6290855005,1462579200.0,1213,227,0,0,0,4.15999984741211,0,0
fitbit,6290855005,1462665600.0,1189,251,0,0,0,5.82000017166138,0,0
fitbit,6290855005,1462752000.0,800,264,0,0,0.0199999995529652,4.73000001907349,0,0
fitbit,6290855005,1462838400.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1460419200.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1460505600.0,1053,85,18,17,0,1.22000002861023,0.579999983310699,1.11000001430511
fitbit,6775888955,1460592000.0,863,105,24,14,0,1.97000002861023,0.860000014305115,0.870000004768372
fitbit,6775888955,1460678400.0,976,58,0,0,0,0.920000016689301,0,0
fitbit,6775888955,1460764800.0,1377,9,18,36,0,0.0599999986588955,0.810000002384186,2.51999998092651
fitbit,6775888955,1460851200.0,1392,19,24,5,0,0.310000002384186,1.12999999523163,0.349999994039536
fitbit,6775888955,1460937600.0,1233,146,31,30,0,3.17000007629395,0.769999980926514,2
fitbit,6775888955,1461024000.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1461110400.0,1079,178,113,70,0,2.22000002861023,1.74000000953674,3.76999998092651
fitbit,6775888955,1461196800.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1461283200.0,1420,20,0,0,0,0.46000000834465,0,0
fitbit,6775888955,1461369600.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1461456000.0,1400,11,18,11,0,0.150000005960464,0.620000004768372,0.769999980926514
fitbit,6775888955,1461542400.0,1302,92,13,33,0,1.89999997615814,0.46000000834465,2.26999998092651
fitbit,6775888955,1461628800.0,1321,47,30,42,0,0.730000019073486,0.870000004768372,3.48000001907349
fitbit,6775888955,1461715200.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1461801600.0,1410,15,13,2,0,0.239999994635582,0.200000002980232,0.0599999986588955
fitbit,6775888955,1461888000.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1461974400.0,1344,84,9,3,0,1.48000001907349,0.159999996423721,0.159999996423721
fitbit,6775888955,1462060800.0,1347,50,34,9,0,0.680000007152557,0.620000004768372,0.479999989271164
fitbit,6775888955,1462147200.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1462233600.0,1439,1,0,0,0,0.00999999977648258,0,0
fitbit,6775888955,1462320000.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1462406400.0,1440,0,0,0,0,0,0,0
fitbit,6775888955,1462492800.0,1318,75,35,12,0,1.92999994754791,0.930000007152557,0.469999998807907
fitbit,6775888955,1462579200.0,551,49,5,2,0,1.04999995231628,0.239999994635582,0.129999995231628
fitbit,6962181067,1460419200.0,796,189,14,50,0,2.50999999046326,0.829999983310699,3.40000009536743
fitbit,6962181067,1460505600.0,548,142,24,8,0,1.96000003814697,1.21000003814697,0.569999992847443
fitbit,6962181067,1460592000.0,862,86,0,0,0,1.02999997138977,0,0
fitbit,6962181067,1460678400.0,837,217,0,0,0,3.6800000667572,0,0
fitbit,6962181067,1460764800.0,741,280,3,50,0,4.88000011444092,0.189999997615814,3.66000008583069
fitbit,6962181067,1460851200.0,634,295,13,5,0,5.69000005722046,0.680000007152557,0.330000013113022
fitbit,6962181067,1460937600.0,689,238,42,13,0,4.32000017166138,2.39000010490417,0.829999983310699
fitbit,6962181067,1461024000.0,659,195,41,35,0,2.86999988555908,2.13000011444092,2.09999990463257
fitbit,6962181067,1461110400.0,639,297,4,48,0,5.09000015258789,0.189999997615814,4.28000020980835
fitbit,6962181067,1461196800.0,708,214,27,53,0.109999999403954,3.50999999046326,2.09999990463257,3.99000000953674
fitbit,6962181067,1461283200.0,659,240,33,30,0,3.76999998092651,1.54999995231628,1.76999998092651
fitbit,6962181067,1461369600.0,484,347,41,58,0,7.03999996185303,2,4.19999980926514
fitbit,6962181067,1461456000.0,720,199,0,0,0,3.3199999332428,0,0
fitbit,6962181067,1461542400.0,637,282,31,35,0.100000001490116,4.46000003814697,1.67999994754791,3.01999998092651
